TransactionID,Month,Date,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalRevenue,Region,PaymentMethod
10123,May,5/2/2024,Clothing,Forever 21 Graphic Tee,5,1039,64.95,Asia,Debit Card
10124,May,5/3/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,1199,44.97,North America,Credit Card
10125,May,5/4/2024,Beauty Products,NARS Radiant Creamy Concealer,1,2400,30,Europe,PayPal
10126,May,5/5/2024,Sports,Yeti Roadie 24 Cooler,1,15999,199.99,Asia,Credit Card
10127,May,5/6/2024,Electronics,Sony PlayStation 5,1,39999,499.99,North America,Credit Card
10128,May,5/7/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,31999,799.98,Europe,PayPal
10129,May,5/8/2024,Clothing,Lululemon Align Leggings,3,7840,294,Asia,Debit Card
10130,May,5/9/2024,Books,The Four Agreements by Don Miguel Ruiz,2,719,17.98,North America,Credit Card
10131,May,5/10/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,2880,36,Europe,PayPal
10132,May,5/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,3196,159.8,Asia,Credit Card
10133,May,5/12/2024,Electronics,Microsoft Surface Laptop 4,1,103999,1299.99,North America,Credit Card
10134,May,5/13/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,6399,159.98,Europe,PayPal
10135,May,5/14/2024,Clothing,Gap Crewneck Sweatshirt,4,2799,139.96,Asia,Debit Card
10136,May,5/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,799,29.97,North America,Credit Card
10137,May,5/16/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,544,6.8,Europe,PayPal
10138,May,5/17/2024,Sports,Fitbit Inspire 2,2,7996,199.9,Asia,Credit Card
10139,May,5/18/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,119999,1499.99,North America,Credit Card
10140,May,5/19/2024,Home Appliances,Instant Pot Ultra,1,11199,139.99,Europe,PayPal
10141,May,5/20/2024,Clothing,Adidas Essential Track Pants,3,3599,134.97,Asia,Debit Card
10142,May,5/21/2024,Books,The Power of Habit by Charles Duhigg,2,959,23.98,North America,Credit Card
10143,May,5/22/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,2360,29.5,Europe,PayPal
10144,May,5/23/2024,Sports,YETI Tundra 45 Cooler,1,23999,299.99,Asia,Credit Card
10145,May,5/24/2024,Electronics,Apple AirPods Max,1,43920,549,North America,Credit Card
10146,May,5/25/2024,Home Appliances,Cuisinart Coffee Center,2,15996,399.9,Europe,PayPal
10147,May,5/26/2024,Clothing,Levi's Sherpa Trucker Jacket,2,7840,196,Asia,Debit Card
10148,May,5/27/2024,Books,The Outsiders by S.E. Hinton,3,879,32.97,North America,Credit Card
10149,May,5/28/2024,Beauty Products,Laneige Water Sleeping Mask,1,2000,25,Europe,PayPal
10150,May,5/29/2024,Sports,Bose SoundSport Wireless Earbuds,2,11999,299.98,Asia,Credit Card
10151,May,5/30/2024,Electronics,Sony WH-1000XM4 Headphones,1,27999,349.99,North America,Credit Card
10152,May,5/31/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,15999,399.98,Europe,PayPal
10153,June,6/1/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,4399,164.97,Asia,Debit Card
10154,June,6/2/2024,Books,The Night Circus by Erin Morgenstern,2,1359,33.98,North America,Credit Card
10155,June,6/3/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,4720,59,Europe,PayPal
10156,June,6/4/2024,Sports,Garmin Forerunner 245,1,23999,299.99,Asia,Credit Card
10157,June,6/5/2024,Electronics,Google Pixel 6 Pro,1,71999,899.99,North America,Credit Card
10158,June,6/6/2024,Home Appliances,Breville Nespresso Creatista Plus,1,39996,499.95,Europe,PayPal
10159,June,6/7/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,1999,99.96,Asia,Debit Card
10160,June,6/8/2024,Books,The Art of War by Sun Tzu,3,639,23.97,North America,Credit Card
10161,June,6/9/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,2880,36,Europe,PayPal
10162,June,6/10/2024,Sports,TriggerPoint GRID Foam Roller,2,2799,69.98,Asia,Credit Card
10163,June,6/11/2024,Electronics,Apple MacBook Air,1,95999,1199.99,North America,Credit Card
10164,June,6/12/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,15999,199.99,Europe,PayPal
10165,June,6/13/2024,Clothing,Adidas 3-Stripes Shorts,5,2399,149.95,Asia,Debit Card
10166,June,6/14/2024,Books,The Hunger Games by Suzanne Collins,4,719,35.96,North America,Credit Card
10167,June,6/15/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,1359,16.99,Europe,PayPal
10168,June,6/16/2024,Sports,Yeti Rambler Bottle,3,3999,149.97,Asia,Credit Card
10169,June,6/17/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,55999,699.99,North America,Credit Card
10170,June,6/18/2024,Home Appliances,Instant Pot Duo Evo Plus,2,11199,279.98,Europe,PayPal
10171,June,6/19/2024,Clothing,Nike Tempo Running Shorts,3,2799,104.97,Asia,Debit Card
10172,June,6/20/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,799,19.98,North America,Credit Card
10173,June,6/21/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,2360,29.5,Europe,PayPal
10174,June,6/22/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,55999,699.99,Asia,Credit Card
10175,June,6/23/2024,Electronics,Amazon Fire TV Stick 4K,3,3999,149.97,North America,Credit Card
10176,June,6/24/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,3999,99.98,Europe,PayPal
10177,June,6/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,1192,59.6,Asia,Debit Card
10178,June,6/26/2024,Books,The Sun Also Rises by Ernest Hemingway,3,959,35.97,North America,Credit Card
10179,June,6/27/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,2720,68,Europe,PayPal
10180,June,6/28/2024,Sports,Oakley Holbrook Sunglasses,1,11680,146,Asia,Credit Card
10181,June,6/29/2024,Electronics,Google Pixelbook Go,1,51999,649.99,North America,Credit Card
10182,June,6/30/2024,Home Appliances,Dyson V8 Absolute,1,31999,399.99,Europe,PayPal
10183,July,7/1/2024,Clothing,Levi's 511 Slim Fit Jeans,3,4799,179.97,Asia,Debit Card
10184,July,7/2/2024,Books,The Martian by Andy Weir,2,1039,25.98,North America,Credit Card
10185,July,7/3/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,15200,190,Europe,PayPal
10186,July,7/4/2024,Sports,Polar Vantage V2,1,39996,499.95,Asia,Credit Card
10187,July,7/5/2024,Electronics,Sonos Beam Soundbar,1,31920,399,North America,Credit Card
10188,July,7/6/2024,Home Appliances,Anova Precision Cooker,2,15920,398,Europe,PayPal
10189,July,7/7/2024,Clothing,Nike Dri-FIT Training Shorts,4,2799,139.96,Asia,Debit Card
10190,July,7/8/2024,Books,The Catcher in the Rye by J.D. Salinger,3,879,32.97,North America,Credit Card
10191,July,7/9/2024,Beauty Products,Glossier Cloud Paint,1,1440,18,Europe,PayPal
10192,July,7/10/2024,Sports,TRX All-in-One Suspension Training System,1,13596,169.95,Asia,Credit Card
10193,July,7/11/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,15999,199.99,North America,Credit Card
10194,July,7/12/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,15996,199.95,Europe,PayPal
10195,July,7/13/2024,Clothing,Adidas Ultraboost Running Shoes,2,14399,359.98,Asia,Debit Card
10196,July,7/14/2024,Books,The Road by Cormac McCarthy,2,959,23.98,North America,Credit Card
10197,July,7/15/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,10000,125,Europe,PayPal
10198,July,7/16/2024,Sports,GoPro HERO9 Black,1,35999,449.99,Asia,Credit Card
10199,July,7/17/2024,Electronics,Apple TV 4K,2,14320,358,North America,Credit Card
10200,July,7/18/2024,Home Appliances,Instant Pot Duo Nova,1,7996,99.95,Europe,PayPal
10201,July,7/19/2024,Clothing,Gap 1969 Original Fit Jeans,3,4799,179.97,Asia,Debit Card
10202,July,7/20/2024,Books,The Goldfinch by Donna Tartt,2,1199,29.98,North America,Credit Card
10203,July,7/21/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,4160,52,Europe,PayPal
10204,July,7/22/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,31999,399.99,Asia,Credit Card
10205,July,7/23/2024,Electronics,Samsung Galaxy Watch 4,1,23999,299.99,North America,Credit Card
10206,July,7/24/2024,Home Appliances,KitchenAid Stand Mixer,1,30399,379.99,Europe,PayPal
10207,July,7/25/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,7840,196,Asia,Debit Card
10208,July,7/26/2024,Books,The Great Alone by Kristin Hannah,3,1359,50.97,North America,Credit Card
10209,July,7/27/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,6320,79,Europe,PayPal
10210,July,7/28/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,10320,129,Asia,Credit Card
10211,July,7/29/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,59999,749.99,North America,Credit Card
10212,July,7/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,13599,339.98,Europe,PayPal
10213,July,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,792,39.6,Asia,Debit Card
10214,Aug,8/1/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,879,32.97,North America,Credit Card
10215,Aug,8/2/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,2320,58,Europe,PayPal
10216,Aug,8/3/2024,Sports,YETI Tundra 65 Cooler,1,27999,349.99,Asia,Credit Card
10217,Aug,8/4/2024,Electronics,Apple MacBook Pro 16-inch,1,191920,2399,North America,Credit Card
10218,Aug,8/5/2024,Home Appliances,iRobot Braava Jet M6,1,35999,449.99,Europe,PayPal
10219,Aug,8/6/2024,Clothing,Champion Reverse Weave Hoodie,3,3999,149.97,Asia,Debit Card
10220,Aug,8/7/2024,Books,The Nightingale by Kristin Hannah,2,1039,25.98,North America,Credit Card
10221,Aug,8/8/2024,Beauty Products,Tarte Shape Tape Concealer,1,2160,27,Europe,PayPal
10222,Aug,8/9/2024,Sports,Garmin Forerunner 945,1,47999,599.99,Asia,Credit Card
10223,Aug,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,3999,199.96,North America,Credit Card
10224,Aug,8/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,18399,459.98,Europe,PayPal
10225,Aug,8/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,3599,89.98,Asia,Debit Card
10226,Aug,8/13/2024,Books,The Silent Patient by Alex Michaelides,3,2159,80.97,North America,Credit Card
10227,Aug,8/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,536,6.7,Europe,PayPal
10228,Aug,8/15/2024,Sports,Fitbit Luxe,2,11996,299.9,Asia,Credit Card
10229,Aug,8/16/2024,Electronics,Google Nest Wifi Router,1,13520,169,North America,Credit Card
10230,Aug,8/17/2024,Home Appliances,Anova Precision Oven,1,47920,599,Europe,PayPal
10231,Aug,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,5199,259.96,Asia,Debit Card
10232,Aug,8/19/2024,Books,Dune by Frank Herbert,2,799,19.98,North America,Credit Card
10233,Aug,8/20/2024,Beauty Products,Fresh Sugar Lip Treatment,1,1920,24,Europe,PayPal
10234,Aug,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,2636,98.85,Asia,Credit Card
10235,Aug,8/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,23920,299,North America,Credit Card
10236,Aug,8/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,12799,159.99,Europe,PayPal
10237,Aug,8/24/2024,Clothing,Nike Air Force 1 Sneakers,3,7200,270,Asia,Debit Card
10238,Aug,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,879,32.97,North America,Credit Card
10239,Aug,8/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,4400,55,Europe,PayPal
10240,Aug,8/27/2024,Sports,Yeti Rambler 20 oz Tumbler,2,2399,59.98,Asia,Credit Card
